country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","21-09-2026 11:00:00",28.5627763,77.1180053,OZONE,22,226,76
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","21-09-2026 11:00:00",28.493624,77.201159,NH3,0,5,2
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","21-09-2026 11:00:00",28.493624,77.201159,CO,78,90,86
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","21-09-2026 11:00:00",28.615828,77.271992,PM2.5,94,305,176
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","21-09-2026 11:00:00",28.615828,77.271992,NO2,6,68,31
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","21-09-2026 11:00:00",28.615828,77.271992,CO,72,90,82
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","21-09-2026 11:00:00",28.60909,77.0325413,SO2,11,16,14
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","21-09-2026 11:00:00",28.4706914,77.1099364,PM10,106,167,131
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM","21-09-2026 11:00:00",28.5512005,77.2735737,PM10,61,211,126
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","21-09-2026 11:00:00",28.3419248,77.319699,OZONE,4,28,14
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","21-09-2026 11:00:00",28.806223,76.141105,PM2.5,86,144,113
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","21-09-2026 11:00:00",28.593883,76.270653,PM2.5,15,224,103
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","21-09-2026 11:00:00",28.593883,76.270653,CO,8,16,13
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","21-09-2026 11:00:00",28.2068,76.7997,PM10,NA,NA,NA
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","21-09-2026 11:00:00",28.2068,76.7997,NO2,NA,NA,NA
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","21-09-2026 11:00:00",28.2068,76.7997,SO2,NA,NA,NA
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","21-09-2026 11:00:00",28.2068,76.7997,OZONE,11,46,29
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","21-09-2026 11:00:00",28.376058,77.315741,SO2,3,10,9
India,Delhi,Delhi,"DTU, Delhi - CPCB","21-09-2026 11:00:00",28.7500499,77.1112615,NH3,2,11,8
India,Delhi,Delhi,"DTU, Delhi - CPCB","21-09-2026 11:00:00",28.7500499,77.1112615,SO2,26,30,27
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","21-09-2026 11:00:00",28.5710274,77.0719006,NO2,15,54,31
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","21-09-2026 11:00:00",28.5710274,77.0719006,CO,11,23,16
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","21-09-2026 11:00:00",28.6514781,77.1473105,NH3,4,7,6
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","21-09-2026 11:00:00",28.636429,77.201067,PM10,100,170,137
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","21-09-2026 11:00:00",28.636429,77.201067,NO2,15,36,27
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","21-09-2026 11:00:00",28.636429,77.201067,CO,100,104,102
India,Delhi,Delhi,"Pusa, Delhi - DPCC","21-09-2026 11:00:00",28.639652,77.146275,PM10,114,205,147
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","21-09-2026 11:00:00",28.5504249,77.2159377,PM10,140,394,216
India,Delhi,Delhi,"Mundka, Delhi - DPCC","21-09-2026 11:00:00",28.684678,77.076574,PM2.5,67,302,146
India,Delhi,Delhi,"Mundka, Delhi - DPCC","21-09-2026 11:00:00",28.684678,77.076574,NO2,79,109,92
India,Delhi,Delhi,"Mundka, Delhi - DPCC","21-09-2026 11:00:00",28.684678,77.076574,OZONE,2,10,5
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","21-09-2026 11:00:00",28.695381,77.181665,NH3,4,7,5
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","21-09-2026 11:00:00",28.647622,77.315809,NO2,14,43,26
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","21-09-2026 11:00:00",28.647622,77.315809,SO2,20,40,30
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","21-09-2026 11:00:00",28.674045,77.131023,CO,60,81,69
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","21-09-2026 11:00:00",28.674045,77.131023,OZONE,8,42,18
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","21-09-2026 11:00:00",28.656756,77.227234,SO2,11,16,14
India,Delhi,Delhi,"Pusa, Delhi - IITM","21-09-2026 11:00:00",28.63611,77.173332,PM10,108,171,133
India,Delhi,Delhi,"Pusa, Delhi - IITM","21-09-2026 11:00:00",28.63611,77.173332,NO2,35,136,80
India,Delhi,Delhi,"Pusa, Delhi - IITM","21-09-2026 11:00:00",28.63611,77.173332,OZONE,5,122,44
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","21-09-2026 11:00:00",28.54246,77.191651,PM10,167,268,199
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","21-09-2026 11:00:00",28.54246,77.191651,NO2,15,77,38
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","21-09-2026 11:00:00",15.459706,75.008381,SO2,3,8,6
